FlowId,Source,SrcPort,Destination,DstPort,TxPackets,RxPackets,LostPackets,PDR(%),AvgDelay(ms),Jitter(ms),Throughput(Mbps)
1,10.1.0.1,49153,10.1.0.2,9999,1546,569,907,36.8047,437.5619,47.0636,0.0250
3,10.1.0.1,49154,10.1.0.3,10000,1546,538,956,34.7995,425.7060,42.1873,0.0236
5,10.1.0.1,49155,10.1.0.4,10001,1546,563,917,36.4166,427.5463,39.9347,0.0247
7,10.1.0.1,49156,10.1.0.5,10002,1545,541,932,35.0162,432.0643,39.8113,0.0238
9,10.1.0.1,49157,10.1.0.6,10003,1545,535,950,34.6278,414.3051,27.0739,0.0234
11,10.1.0.1,49158,10.1.0.7,10004,1544,514,976,33.2902,430.0606,39.3354,0.0226
13,10.1.0.1,49159,10.1.0.8,10005,1544,525,955,34.0026,426.7971,40.2568,0.0231
15,10.1.0.1,49160,10.1.0.9,10006,1543,569,900,36.8762,441.8626,39.5942,0.0250
17,10.1.0.1,49161,10.1.0.10,10007,1543,550,934,35.6448,440.4363,35.7813,0.0241
19,10.1.0.1,49162,10.1.0.11,10008,1543,551,932,35.7097,430.1106,43.5392,0.0243
21,10.1.0.1,49163,10.1.0.12,10009,1542,540,938,35.0195,450.8054,48.6466,0.0238
22,10.1.0.1,49164,10.1.0.13,10010,1542,548,933,35.5383,439.9634,37.7144,0.0244
23,10.1.0.1,49165,10.1.0.14,10011,1541,545,955,35.3666,439.6340,41.6349,0.0240
24,10.1.0.1,49166,10.1.0.15,10012,1541,555,927,36.0156,441.8341,47.3516,0.0243
25,10.1.0.1,49167,10.1.0.16,10013,1541,523,953,33.9390,432.4668,34.5998,0.0232
26,10.1.0.1,49168,10.1.0.17,10014,1540,523,972,33.9610,444.9338,39.7911,0.0231
27,10.1.0.1,49169,10.1.0.18,10015,1540,496,975,32.2078,450.7499,49.8861,0.0220
28,10.1.0.1,49170,10.1.0.19,10016,1539,488,998,31.7089,465.9746,61.7337,0.0216
29,10.1.0.1,49171,10.1.0.20,10017,1539,476,1003,30.9292,439.1279,40.5022,0.0209
30,10.1.0.2,49153,10.1.0.1,10018,1539,498,980,32.3587,433.0116,42.4815,0.0219
31,10.1.0.2,49154,10.1.0.3,10019,1538,465,988,30.2341,428.0068,43.0858,0.0206
35,10.1.0.2,49155,10.1.0.4,10020,1538,505,959,32.8349,447.1837,44.2212,0.0222
38,10.1.0.2,49156,10.1.0.5,10021,1537,492,974,32.0104,427.9861,31.5443,0.0217
41,10.1.0.2,49157,10.1.0.6,10022,1537,512,963,33.3116,458.4011,56.1616,0.0226
44,10.1.0.2,49158,10.1.0.7,10023,1536,464,1008,30.2083,440.5290,43.5843,0.0205
47,10.1.0.2,49159,10.1.0.8,10024,1536,497,974,32.3568,446.6333,49.3596,0.0220
50,10.1.0.2,49160,10.1.0.9,10025,1536,492,973,32.0312,439.2353,28.7452,0.0217
53,10.1.0.2,49161,10.1.0.10,10026,1535,467,1007,30.4235,446.1206,42.2924,0.0206
56,10.1.0.2,49162,10.1.0.11,10027,1535,507,960,33.0293,447.8088,45.6968,0.0224
59,10.1.0.2,49163,10.1.0.12,10028,1534,480,990,31.2907,435.4492,43.8154,0.0212
61,10.1.0.2,49164,10.1.0.13,10029,1534,481,990,31.3559,437.0341,34.2053,0.0212
62,10.1.0.2,49165,10.1.0.14,10030,1534,503,982,32.7901,447.4939,52.2448,0.0222
63,10.1.0.2,49166,10.1.0.15,10031,1533,489,987,31.8982,445.7079,47.7494,0.0216
64,10.1.0.2,49167,10.1.0.16,10032,1533,486,979,31.7025,435.2228,37.6350,0.0214
65,10.1.0.2,49168,10.1.0.17,10033,1532,493,970,32.1802,445.9212,46.5566,0.0218
66,10.1.0.2,49169,10.1.0.18,10034,1532,449,1018,29.3081,438.6032,37.4359,0.0199
77,10.1.0.2,49170,10.1.0.19,10035,1532,423,1041,27.6110,432.7991,40.6064,0.0188
84,10.1.0.2,49171,10.1.0.20,10036,1531,433,1026,28.2822,435.2462,40.1223,0.0193
85,10.1.0.3,49153,10.1.0.1,10037,1531,540,921,35.2711,463.7627,48.0206,0.0238
86,10.1.0.3,49154,10.1.0.2,10038,1530,547,925,35.7516,443.5287,46.6253,0.0242
87,10.1.0.3,49155,10.1.0.4,10039,1530,502,960,32.8105,456.0272,38.7701,0.0225
88,10.1.0.3,49156,10.1.0.5,10040,1529,520,926,34.0092,447.0175,36.4080,0.0230
89,10.1.0.3,49157,10.1.0.6,10041,1529,476,985,31.1315,451.9399,41.5650,0.0210
90,10.1.0.3,49158,10.1.0.7,10042,1529,506,949,33.0935,452.6276,40.9996,0.0224
91,10.1.0.3,49159,10.1.0.8,10043,1528,560,896,36.6492,444.8939,35.2079,0.0248
92,10.1.0.3,49160,10.1.0.9,10044,1528,534,913,34.9476,457.6113,48.9222,0.0236
93,10.1.0.3,49161,10.1.0.10,10045,1527,498,956,32.6130,448.4335,42.7733,0.0220
94,10.1.0.3,49162,10.1.0.11,10046,1527,493,973,32.2855,447.8884,53.5330,0.0220
